iteration,loss,loss_exposure,DELTR_Loss(calculated),loss_standard,omega
67,21059.322120521523,0.0,21059.322120527886,21059.322120527886,"[-0.00961299 -0.03480389  0.00376901  0.0104115   0.0069583   0.01071053
  0.00873327  0.00170846]"
68,21059.302401102148,0.0,21059.302401105353,21059.302401105353,"[-0.01002563 -0.03496332  0.00376902  0.0104115   0.0069583   0.01071054
  0.00873328  0.00170847]"
69,21059.282881787345,0.0,21059.282881786916,21059.282881786916,"[-0.01043637 -0.03512142  0.00376904  0.01041151  0.00695831  0.01071054
  0.00873328  0.00170847]"
70,21059.26356041311,0.0,21059.26356041918,21059.26356041918,"[-0.01084524 -0.03527818  0.00376905  0.01041152  0.00695831  0.01071054
  0.00873329  0.00170847]"
71,21059.244434842185,0.0,21059.244434832708,21059.244434832708,"[-0.01125222 -0.03543362  0.00376907  0.01041153  0.00695832  0.01071055
  0.00873329  0.00170848]"
72,21059.225502963494,0.0,21059.225502968566,21059.225502968566,"[-0.01165734 -0.03558777  0.00376909  0.01041154  0.00695833  0.01071055
  0.00873329  0.00170848]"
73,21059.206762724723,2.6291984464543302e-05,21085.49874718332,21059.206762718775,"[-0.01171555 -0.03603598  0.0037943   0.01043675  0.00698354  0.01073576
  0.0087585   0.00173369]"
74,21059.197689246295,0.0,21059.197689239045,21059.197689239045,"[-0.01211927 -0.03618318  0.00379432  0.01043676  0.00698354  0.01073577
  0.00875851  0.00173369]"
75,21059.179278651245,0.0004131127728870305,21472.292051534205,21059.179278647174,"[-0.00710052 -0.04097317  0.00419089  0.01083336  0.00738015  0.01113238
  0.00915513  0.00213031]"
76,21059.33645380334,0.0,21059.33645380931,21059.33645380931,"[-0.00753688 -0.04104911  0.00419091  0.01083337  0.00738016  0.01113239
  0.00915513  0.00213032]"
77,21059.31688449931,0.0,21059.31688450641,21059.31688450641,"[-0.00797108 -0.04112481  0.00419092  0.01083337  0.00738016  0.01113239
  0.00915513  0.00213032]"
78,21059.29750631276,0.0,21059.297506304752,21059.297506304752,"[-0.00840312 -0.04120029  0.00419094  0.01083338  0.00738017  0.0111324
  0.00915514  0.00213032]"
79,21059.278317363405,0.0,21059.278317359334,21059.278317359334,"[-0.00883303 -0.04127553  0.00419095  0.01083339  0.00738018  0.0111324
  0.00915514  0.00213033]"
80,21059.259315789706,0.0,21059.259315784286,21059.259315784286,"[-0.00926081 -0.04135055  0.00419097  0.0108334   0.00738018  0.01113241
  0.00915515  0.00213033]"
81,21059.240499748797,0.0,21059.240499748896,21059.240499748896,"[-0.00968647 -0.04142533  0.00419098  0.01083341  0.00738019  0.01113241
  0.00915515  0.00213033]"
82,21059.22186741614,0.0,21059.22186740901,21059.22186740901,"[-0.01011003 -0.04149987  0.004191    0.01083341  0.00738019  0.01113241
  0.00915515  0.00213034]"
83,21059.203416985474,0.0,21059.20341698023,21059.20341698023,"[-0.01053149 -0.04157418  0.00419102  0.01083342  0.0073802   0.01113242
  0.00915516  0.00213034]"
84,21059.185146668486,0.0,21059.185146672844,21059.185146672844,"[-0.01095086 -0.04164826  0.00419103  0.01083343  0.0073802   0.01113242
  0.00915516  0.00213034]"
85,21059.167054694764,0.0,21059.167054683287,21059.167054683287,"[-0.01136817 -0.0417221   0.00419105  0.01083344  0.00738021  0.01113243
  0.00915517  0.00213034]"
86,21059.14913931154,0.0,21059.149139309153,21059.149139309153,"[-0.0117834  -0.0417957   0.00419106  0.01083345  0.00738021  0.01113243
  0.00915517  0.00213035]"
87,21059.13139878351,0.0,21059.131398784866,21059.131398784866,"[-0.01219659 -0.04186907  0.00419108  0.01083345  0.00738022  0.01113244
  0.00915517  0.00213035]"
88,21059.113831392668,0.0,21059.113831395458,21059.113831395458,"[-0.01260773 -0.0419422   0.0041911   0.01083346  0.00738022  0.01113244
  0.00915518  0.00213035]"
89,21059.09643543812,0.0,21059.09643543384,21059.09643543384,"[-0.01301684 -0.04201509  0.00419111  0.01083347  0.00738023  0.01113244
  0.00915518  0.00213036]"
90,21059.079209235948,0.0,21059.07920923128,21059.07920923128,"[-0.01342393 -0.04208775  0.00419113  0.01083348  0.00738024  0.01113245
  0.00915519  0.00213036]"
91,21059.062151118924,0.0,21059.062151124468,21059.062151124468,"[-0.013829   -0.04216017  0.00419114  0.01083349  0.00738024  0.01113245
  0.00915519  0.00213036]"
92,21059.045259706974,7.547740259640143e-05,21134.522662298903,21059.045259702503,"[-0.01324159 -0.04307894  0.00426352  0.01090586  0.00745261  0.01120483
  0.00922756  0.00220274]"
93,21059.063029026966,0.0,21059.06302903072,21059.06302903072,"[-0.01364931 -0.04313833  0.00426353  0.01090587  0.00745262  0.01120483
  0.00922757  0.00220274]"
94,21059.04609435875,0.0,21059.046094364872,21059.046094364872,"[-0.014055   -0.04319764  0.00426355  0.01090588  0.00745263  0.01120483
  0.00922757  0.00220274]"
95,21059.029325822492,0.0,21059.02932581778,21059.02932581778,"[-0.01445865 -0.04325689  0.00426356  0.01090588  0.00745263  0.01120484
  0.00922758  0.00220275]"
96,21059.012732242438,0.0004697913366265001,21528.80406887702,21059.01273225052,"[-0.00869614 -0.04858868  0.00471464  0.011357    0.00790375  0.01165597
  0.00967871  0.00265388]"
97,21059.244793793376,0.0,21059.244793789254,21059.244793789254,"[-0.0091371  -0.04856965  0.00471465  0.011357    0.00790376  0.01165597
  0.00967871  0.00265389]"
98,21059.22536563061,0.0,21059.225365624206,21059.225365624206,"[-0.00957571 -0.04855162  0.00471467  0.01135701  0.00790377  0.01165598
  0.00967871  0.00265389]"
99,21059.206146940767,0.0,21059.206146933313,21059.206146933313,"[-0.01001199 -0.04853457  0.00471469  0.01135702  0.00790377  0.01165598
  0.00967872  0.00265389]"
