q_id,doc_id,Gender,PlayerName,NumSeasons,AvgPER,CareerPoints
1,317,1,Nikki McCray,9,11.21,2550
1,318,1,Al Ferrari,6,9.0,2525
1,319,0,Ed Fleming,5,13.86,2511
1,320,0,Dave Budd,5,12.52,2505
1,321,0,John Trapp,7,11.03,2498
1,322,0,E'Twaun Moore,6,10.73,2489
1,323,1,Brent Price,9,11.49,2481
1,324,1,Cory Joseph,6,12.7,2479
1,325,0,Otto Porter,4,12.35,2469
1,326,0,Art Spoelstra,6,10.82,2461
1,327,1,Johnny McCarthy,6,7.9,2450
1,328,0,Alan Anderson,8,9.51,2421
1,329,0,John Henson,5,17.6,2418
1,330,0,Bud Stallworth,5,10.46,2403
1,331,1,Elston Turner,8,8.8,2397
1,332,0,Sam Williams,8,12.85,2383
1,333,0,Tom LaGarde,6,8.45,2376
1,334,1,Merlakia Jones,8,13.99,2353
1,335,0,Ernie Beck,9,11.22,2351
1,336,1,Kara Braxton,10,15.41,2247
1,337,1,Shekinna Stricklen,10,11.69,2245
1,338,0,Kristaps Porzingis,2,17.55,2224
1,339,0,Jahidi White,9,9.62,2215
1,340,1,Predrag Drobnjak,4,12.62,2187
1,341,0,Ennis Whatley,13,10.88,2185
1,342,1,Matt Maloney,6,9.0,2177
1,343,1,Bismack Biyombo,6,12.72,2176
1,344,1,Thomas Robinson,9,13.89,2169
1,345,1,Lorenzo Romar,9,9.01,2135
1,346,1,Greg Kite,18,4.38,2099
1,347,0,Anthony Randolph,8,15.41,2094
1,348,0,Robert Traylor,7,14.77,2085
1,349,0,Joe Hassett,8,12.49,2079
1,350,0,Gene Conley,6,9.97,2069
1,351,1,John Crotty,13,14.24,2062
1,352,0,Doug McDermott,5,9.66,2057
1,353,1,John Lambert,11,11.21,2049
1,354,1,Coco Miller,12,10.61,2032
1,355,1,Brittney Sykes,6,14.37,2019
1,356,1,Vicky Bullett,6,19.12,2018
1,357,0,Ronnie Price,12,8.84,2015
1,358,0,Felipe Lopez,6,11.63,1998
1,359,1,Elizabeth Williams,8,16.2,1995
1,360,0,Bob Lavoy,5,14.74,1994
1,361,0,Steve Harris,7,13.11,1975
1,362,1,Lou Amundson,19,8.31,1953
1,363,0,Francisco Elson,13,8.08,1948
1,364,1,Kedra Holland-Corn,7,13.84,1938
1,365,1,Latasha Byears,10,17.75,1935
1,366,1,Jessica Breland,9,14.99,1918
1,367,0,Greg Minor,5,12.68,1902
1,368,1,Julius Randle,3,7.57,1896
1,369,0,Rickey Brown,7,10.03,1881
1,370,0,Allen Crabbe,4,10.05,1878
1,371,0,Mitchell Butler,8,9.44,1868
1,372,0,Reggie Harding,4,11.35,1839
1,373,0,Ike Diogu,10,14.72,1833
1,374,0,Franklin Edwards,7,11.9,1802
1,375,0,Ollie Mack,7,9.21,1788
1,376,1,Kamila Vodichkova,7,15.91,1779
1,377,0,Royal Ivey,12,6.52,1734
1,378,0,Buddy Hield,3,12.2,1732
1,379,0,Landry Fields,5,11.04,1731
1,380,1,T.J. Warren,3,15.1,1711
1,381,0,Jimmer Fredette,9,15.19,1698
1,382,0,Major Jones,6,11.57,1643
1,383,0,Tony Wroten,4,9.72,1604
1,384,0,Ray Tolbert,11,10.03,1602
1,385,0,Don Reid,10,8.52,1598
1,386,0,Brian Scalabrine,11,7.47,1594
1,387,1,Byron Mullens,7,9.46,1587
1,388,1,Jake Tsakalidis,9,11.11,1581
1,389,1,Damiris Dantas,8,12.85,1550
1,390,0,LaBradford Smith,5,13.68,1550
1,391,0,Butch Lee,6,9.23,1546
1,392,1,Jerome James,9,14.11,1540
1,393,1,Mark Strickland,10,13.53,1533
1,394,0,Larry Sanders,6,13.12,1520
1,395,0,Tyler Johnson,3,13.9,1506
1,396,1,Jennifer Lacy,10,8.51,1506
1,397,1,Elaine Powell,10,11.99,1505
1,398,0,Rodney Buford,5,9.66,1472
1,399,1,Erlana Larkins,9,15.46,1445
1,400,0,Wally Osterkorn,4,9.98,1436
1,401,1,Tim Bassett,6,7.83,1424
1,402,1,Bridget Pettis,8,12.36,1408
1,403,1,Courtney Paris,10,15.91,1404
1,404,1,LaToya Thomas,6,15.02,1390
1,405,1,Vonteego Cummings,3,11.7,1381
1,406,1,Henry James,9,13.0,1359
1,407,0,John Roche,4,9.93,1358
1,408,0,Ryan Bowen,10,12.28,1319
1,409,1,Eva Nemcova,5,15.24,1304
1,410,1,Teaira McCowan,4,22.15,1304
1,411,0,Don Henriksen,3,11.57,1297
1,412,1,Napheesa Collier,4,17.3,1297
1,413,0,Rodrigue Beaubois,4,13.95,1286
1,414,1,Dave Minor,4,11.32,1283
1,415,1,Tayler Hill,6,12.52,1280
1,416,0,Travis Knight,7,9.21,1276
1,417,1,Teresa Weatherspoon,8,12.72,1264
1,418,0,Pep Saul,3,9.63,1255
1,419,1,Kenny Williams,4,15.95,1247
1,420,1,Nicky Anosike,5,15.7,1244
1,421,1,Erin Perperoglou,8,13.55,1232
1,422,0,J.J. Anderson,5,10.32,1231
1,423,1,Zeke Zawoluk,3,14.4,1210
